starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	2	29	31	29
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	2	29	31	29
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	31	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	31	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	31	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	31	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	31
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	31
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	2	30	32	30
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:25 2022	1668242725	0	32	32	32
Sat Nov 12 09:45:26 2022	1668242726	0	32	32	32
