starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	5	27	31	27
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	31	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	32	31
Sat Nov 12 09:45:23 2022	1668242723	0	31	32	31
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	31
Sat Nov 12 09:45:23 2022	1668242723	5	27	32	27
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	4	27	32	27
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	4	28	32	28
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
Sat Nov 12 09:45:23 2022	1668242723	0	32	32	32
